ESITEID,PRIMARYADDRESS,TOWNNAME,PARCELNUM,UNITCOUNT,YEARBUILT,SITETYPE,GPSX,GPSY,ParcelCategory,SOURCEOFDATA
764928,4 CATAMOUNT LN,DOVER,HI062-,1,2022,DEVELOPMENT SITE,-72.88859958669451,42.97697626256402,C,Vermont Enhanced 911 Board
763861,30 OVERLOOK DR,DOVER,PK006-,1,2022,DEVELOPMENT SITE,-72.87703472687768,42.96676464866913,O,Vermont Enhanced 911 Board
759253,1128 ANDOVER RIDGE RD,ANDOVER,4000052,1,2020,DEVELOPMENT SITE,-72.7586336460209,43.30421148162413,M,Vermont Enhanced 911 Board
766496,82 WALKER RD,ATHENS,3127,1,2023,DEVELOPMENT SITE,-72.59607195487823,43.13477937651655,M,Vermont Enhanced 911 Board
760222,345 GOLF COURSE RD,RICHFORD,GC0249-,1,2021,DEVELOPMENT SITE,-72.63360341983996,45.0105441040022,M,Vermont Enhanced 911 Board
4864,35 SUNSET DR,WATERBURY,145-0035.,1,2022,DEVELOPMENT SITE,-72.72290568588289,44.381771718302495,R1,Vermont Enhanced 911 Board
335549,28 POND RD,ANDOVER,4000044,1,2008,DEVELOPMENT SITE,-72.75692458103796,43.30190355419213,M,Vermont Enhanced 911 Board
268896,2175 VT ROUTE 15,WALDEN,14-52.,1,1998,DEVELOPMENT SITE,-72.2194519028689,44.42757034291884,S2,Vermont Enhanced 911 Board
243295,1698 FAIRFAX RD,SAINT ALBANS TOWN,000000RT10-47,1,1998,DEVELOPMENT SITE,-73.0786289318107,44.78182207876969,M,Vermont Enhanced 911 Board
755573,755 RIX RD,ROYALTON,V--565~,1,2018,DEVELOPMENT SITE,-72.53401568318147,43.8513000948577,M,Vermont Enhanced 911 Board
764927,1 CATAMOUNT LN,DOVER,HI061-,1,2022,DEVELOPMENT SITE,-72.88929852841338,42.976707132663726,R1,Vermont Enhanced 911 Board
336412,178 COLONY RD,WARREN,005008-304,1,2009,DEVELOPMENT SITE,-72.88736629316165,44.1411545240972,M,Vermont Enhanced 911 Board
258421,2013 HIGHGATE RD,SWANTON,HI2013-0014,1,1998,DEVELOPMENT SITE,-73.06357272014705,44.90491588002292,M,Vermont Enhanced 911 Board
760196,2337 CODDING HOLLOW RD,WATERVILLE,05-32.2,1,2021,DEVELOPMENT SITE,-72.71383219179644,44.709052600620176,W,Vermont Enhanced 911 Board
763369,1228 REGAN RD,MONTGOMERY,00028.021A.,1,2022,DEVELOPMENT SITE,-72.60243166111766,44.85741319240809,W,Vermont Enhanced 911 Board
327200,103 WATERFORD LN,SPRINGFIELD,01A/2/12-2,1,1998,DEVELOPMENT SITE,-72.52898387283012,43.33861843143314,M,Vermont Enhanced 911 Board
327195,120 WATERFORD LN,SPRINGFIELD,01A/2/12-13,1,1998,DEVELOPMENT SITE,-72.5290257790521,43.33983077543717,R1,Vermont Enhanced 911 Board
256236,42 PINE ST,SWANTON,PS0042-0028,1,2003,DEVELOPMENT SITE,-73.11389531399695,44.91845872906402,R1,Vermont Enhanced 911 Board
769793,259 NORTON RD,MIDDLETOWN SPRINGS,TH05-237-000,1,2024,DEVELOPMENT SITE,-73.13348201289027,43.50099196633505,R2,Vermont Enhanced 911 Board
263360,600 POKER HILL RD,UNDERHILL,PH600-,1,1998,DEVELOPMENT SITE,-72.90963938840977,44.60895997016475,R2,Vermont Enhanced 911 Board
446506,1256 WOODFORD RD,BENNINGTON,-9011403,1,2013,DEVELOPMENT SITE,-73.16260222617784,42.883392990822756,M,Vermont Enhanced 911 Board
751329,539 THOMAS LN,STOWE,01034-270,1,2017,DEVELOPMENT SITE,-72.68603219188113,44.46021710875507,M,Vermont Enhanced 911 Board
448583,39 BROOK RD,STRAFFORD,5.039,1,2013,DEVELOPMENT SITE,-72.38460205716237,43.868235806170865,M,Vermont Enhanced 911 Board
764578,1110 CHESTER RD,GRAFTON,6053,1,2022,DEVELOPMENT SITE,-72.59741491223937,43.185418965108866,R2,Vermont Enhanced 911 Board
300721,21 REED RD,WOLCOTT,3135,1,1998,DEVELOPMENT SITE,-72.46018159903542,44.61162513054869,M,Vermont Enhanced 911 Board
615541,2541 EAST SHELDON RD,SHELDON,EAS-02515.,1,2017,DEVELOPMENT SITE,-72.88519696653978,44.90011123098887,R2,Vermont Enhanced 911 Board
768851,115 LOIS LN,COLCHESTER,43-006002-0000000,1,2024,DEVELOPMENT SITE,-73.27548579104572,44.549868528728545,M,Vermont Enhanced 911 Board
255,315 EAST HILL RD,EAST MONTPELIER,09-105.250,1,2017,DEVELOPMENT SITE,-72.48166454247284,44.25195885126498,M,Vermont Enhanced 911 Board
345871,225 ALGER BROOK RD,STRAFFORD,24.225,1,2012,DEVELOPMENT SITE,-72.34179185554477,43.87347592316334,W,Vermont Enhanced 911 Board
345080,1257 MOREY HILL RD,WOLCOTT,3008,1,2012,DEVELOPMENT SITE,-72.4787116437606,44.62203808034758,M,Vermont Enhanced 911 Board
763814,149 WASHBURN RD,BURKE,8020011.001,1,2022,DEVELOPMENT SITE,-71.88541184228903,44.59971524132977,M,Vermont Enhanced 911 Board
273105,3758 PEPPER RD,WASHINGTON,004055.000,1,1998,DEVELOPMENT SITE,-72.43105600299366,44.03726595498111,M,Vermont Enhanced 911 Board
761127,2209 UNDERPASS RD,SUTTON,100-2167.,1,2021,DEVELOPMENT SITE,-72.0434936693557,44.66186877486744,M,Vermont Enhanced 911 Board
770032,3139 VT ROUTE 17,STARKSBORO,0000F4171E.9,1,2024,DEVELOPMENT SITE,-72.97350913029987,44.18650091588044,R2,Vermont Enhanced 911 Board
757486,12 BOOTH WOODS,VERGENNES,300389.19,1,2020,DEVELOPMENT SITE,-73.24265306843036,44.15699161138328,M,Vermont Enhanced 911 Board
251360,859 RIVER RD,STOWE,-8036,1,1998,DEVELOPMENT SITE,-72.70410733916457,44.45013075147365,M,Vermont Enhanced 911 Board
763284,276 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10634109053579,44.4573735731749,M,Vermont Enhanced 911 Board
763211,305 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.1063689171662,44.458713044355676,M,Vermont Enhanced 911 Board
763209,279 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10657204440926,44.459065562175944,M,Vermont Enhanced 911 Board
763195,192 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.1083068547346,44.45881012858712,M,Vermont Enhanced 911 Board
763183,138 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10951232920239,44.45893418737733,M,Vermont Enhanced 911 Board
763197,196 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10822524574426,44.45882723026597,M,Vermont Enhanced 911 Board
763213,331 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10618077535264,44.458362827886425,M,Vermont Enhanced 911 Board
763180,106 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10999908902038,44.458969209322774,M,Vermont Enhanced 911 Board
763212,319 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.1062904827694,44.4585229711469,M,Vermont Enhanced 911 Board
763193,178 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10860422002214,44.45872782348732,M,Vermont Enhanced 911 Board
763189,162 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10906939342733,44.45873343978055,M,Vermont Enhanced 911 Board
763221,435 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10591361642567,44.45680103939012,M,Vermont Enhanced 911 Board
763194,182 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10852518713199,44.458736816609196,M,Vermont Enhanced 911 Board
763201,195 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10842892730645,44.45923188848424,M,Vermont Enhanced 911 Board
755376,571 GRAHAM RD,WILLIAMSTOWN,013-047-04,1,2018,DEVELOPMENT SITE,-72.54397526804631,44.07598219074214,M,Vermont Enhanced 911 Board
763220,417 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10585094462404,44.457009720093716,M,Vermont Enhanced 911 Board
763207,259 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10697763594729,44.4593848585444,M,Vermont Enhanced 911 Board
763191,170 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10891847978291,44.45870376676235,M,Vermont Enhanced 911 Board
763276,242 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10703525745438,44.45730940570161,M,Vermont Enhanced 911 Board
763270,214 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.1076138128995,44.45725346808009,M,Vermont Enhanced 911 Board
763186,146 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10938630004324,44.458867949530166,M,Vermont Enhanced 911 Board
763271,218 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10754111408862,44.45726385594608,M,Vermont Enhanced 911 Board
763179,98 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.11016657704783,44.458962123932935,M,Vermont Enhanced 911 Board
763196,188 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10837340134947,44.45878334353061,M,Vermont Enhanced 911 Board
763281,264 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10658020331863,44.45734896874419,M,Vermont Enhanced 911 Board
763192,174 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10869376536375,44.45870663126991,M,Vermont Enhanced 911 Board
763277,246 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10695953599999,44.45731695192211,M,Vermont Enhanced 911 Board
763214,345 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10612893901428,44.458172613386914,M,Vermont Enhanced 911 Board
763182,114 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10982520403228,44.458968709651124,M,Vermont Enhanced 911 Board
763269,210 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10769228425768,44.45725447971468,M,Vermont Enhanced 911 Board
763198,155 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10897341312509,44.4591908900428,M,Vermont Enhanced 911 Board
763219,407 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.1057648305962,44.45720185622138,M,Vermont Enhanced 911 Board
763210,293 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10646387303521,44.458893505615364,M,Vermont Enhanced 911 Board
763285,280 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10627833792704,44.457381527068016,M,Vermont Enhanced 911 Board
763187,150 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10932473686184,44.45883041800901,M,Vermont Enhanced 911 Board
763278,250 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.1068910900804,44.457320887533726,M,Vermont Enhanced 911 Board
763181,110 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10992297336686,44.4589710449334,M,Vermont Enhanced 911 Board
763272,222 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10746504498593,44.45726997523103,M,Vermont Enhanced 911 Board
763199,165 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10884346504567,44.459163246121506,M,Vermont Enhanced 911 Board
763268,206 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.1077680648083,44.45725264737383,M,Vermont Enhanced 911 Board
763217,385 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10583238951384,44.457626528780466,M,Vermont Enhanced 911 Board
763283,272 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10642211347295,44.45736433340995,M,Vermont Enhanced 911 Board
763205,235 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10774257540032,44.45941055487297,M,Vermont Enhanced 911 Board
763204,225 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10789020524518,44.45938000521449,M,Vermont Enhanced 911 Board
763184,118 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10975005380458,44.458967444166134,M,Vermont Enhanced 911 Board
763215,357 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10600217991175,44.457970890073426,M,Vermont Enhanced 911 Board
763280,260 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10664962101546,44.457342647790696,M,Vermont Enhanced 911 Board
763208,269 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10673856467021,44.45925397664218,M,Vermont Enhanced 911 Board
763202,205 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10822336590195,44.459286559111234,M,Vermont Enhanced 911 Board
763200,185 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10854989834327,44.45919552771663,M,Vermont Enhanced 911 Board
763282,268 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10650614403855,44.4573565058365,M,Vermont Enhanced 911 Board
763203,215 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10809240554552,44.45932178208397,M,Vermont Enhanced 911 Board
763185,142 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10945417100812,44.458904495213304,M,Vermont Enhanced 911 Board
763820,472 SHACKETT RD,LEICESTER,30027.2,1,2022,DEVELOPMENT SITE,-73.09603124537868,43.87245876629059,M,Vermont Enhanced 911 Board
763216,371 BEAUDRY LN,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10589739967902,44.457804768116205,M,Vermont Enhanced 911 Board
770283,43 BUCK HILL RD,SHAFTSBURY,172210,1,2024,DEVELOPMENT SITE,-73.20988217992074,42.94715566107189,R1,Vermont Enhanced 911 Board
763279,254 ALPINE DR,WILLISTON,08102.028000,1,2022,DEVELOPMENT SITE,-73.10683499538972,44.45732951911542,M,Vermont Enhanced 911 Board
763206,249 BEAUDRY LN,WILLISTON,08102.048000,1,2022,DEVELOPMENT SITE,-73.10726916908762,44.45944521818243,M,Vermont Enhanced 911 Board
618503,86 THELMAS WAY,BERLIN,00011-016.101,1,2018,DEVELOPMENT SITE,-72.62983302239877,44.251957176934596,M,Vermont Enhanced 911 Board
700135,649 DANA MOORE RD,AVERILL,10021.21,1,2021,DEVELOPMENT SITE,-71.7205149313131,44.949634834686314,O,Vermont Enhanced 911 Board
770762,39 ADAMS ST,BURLINGTON,049-4-121-000,1,2025,DEVELOPMENT SITE,-73.21210495096958,44.47186434502412,M,Vermont Enhanced 911 Board
618087,1500 COTTAGE RD,AVERILL,30004.7,1,2018,DEVELOPMENT SITE,-71.69046891213593,44.98163851665883,O,Vermont Enhanced 911 Board
770763,41 ADAMS ST,BURLINGTON,049-4-121-000,1,2025,DEVELOPMENT SITE,-73.21203853247187,44.47187417166108,M,Vermont Enhanced 911 Board
763410,98 SAP HOUSE DR,LEICESTER,30006,1,2022,DEVELOPMENT SITE,-73.10001618945036,43.890756494132646,M,Vermont Enhanced 911 Board
284541,1925 ARCADIA LN,WESTMORE,255-1925.,1,1998,DEVELOPMENT SITE,-72.01268494529215,44.72514042133769,M,Vermont Enhanced 911 Board
753203,1448 BRIDGE RD,NORTH HERO,03-02-21-,1,2017,DEVELOPMENT SITE,-73.25185040475425,44.88661265848441,M,Vermont Enhanced 911 Board
133307,2402 WEST RD,IRA,000011.310,1,2025,DEVELOPMENT SITE,-73.06415557916611,43.55556869466928,C,Vermont Enhanced 911 Board
318145,520 BERTHA SPRINGS RD,WAITSFIELD,099019000.,1,1998,DEVELOPMENT SITE,-72.79895513252816,44.222696878531046,M,Vermont Enhanced 911 Board
342271,237 WINDMILL WAY,NORTH HERO,11-01-63-43,1,2011,DEVELOPMENT SITE,-73.28832786615747,44.78094785458364,O,Vermont Enhanced 911 Board
764932,714 OLD COUNTY RD,CAVENDISH,2R07-067-01,1,2022,DEVELOPMENT SITE,-72.58267919614855,43.4224262200074,R2,Vermont Enhanced 911 Board
770773,34 ROSEWOOD LN,MILTON,215004,1,2025,DEVELOPMENT SITE,-73.11958806470497,44.65534261554604,R1,Vermont Enhanced 911 Board
344366,545 ALLARD HILL RD,WHEELOCK,010-121003-001,1,2011,DEVELOPMENT SITE,-72.1326054252701,44.59325877718771,W,Vermont Enhanced 911 Board
220597,2801 SHELBURNE RD,SHELBURNE,700-2801,1,1998,DEVELOPMENT SITE,-73.2135238649363,44.414806366498794,M,Vermont Enhanced 911 Board
700148,5639 VT ROUTE 100,EDEN,12.01.03.05,1,2021,DEVELOPMENT SITE,-72.50251503629198,44.728443622643084,M,Vermont Enhanced 911 Board
770764,43 ADAMS ST,BURLINGTON,049-4-121-000,1,2025,DEVELOPMENT SITE,-73.21196872433016,44.47187687021089,R1,Vermont Enhanced 911 Board
770637,133 MAIN ST,WINDSOR,,1,2024,DEVELOPMENT SITE,-72.38681190407448,43.47878492050137,I,Vermont Enhanced 911 Board
761692,3375 VT ROUTE 100,WESTFIELD,09-100-15.1,1,2021,DEVELOPMENT SITE,-72.43297280563881,44.857700932006466,R2,Vermont Enhanced 911 Board
9918,59 BROOKLYN ST,BARRE CITY,0245-0059-0000,1,1998,DEVELOPMENT SITE,-72.50225830096727,44.19371795763469,CA,Vermont Enhanced 911 Board
769590,84 JOSEPH ST,MORRISTOWN,08024-,1,2024,DEVELOPMENT SITE,-72.58097210690174,44.56456055601772,R1,Vermont Enhanced 911 Board
58798,3879 VT ROUTE 114,CANAAN,R21065.,1,1998,DEVELOPMENT SITE,-71.61581839818489,45.00897083786758,M,Vermont Enhanced 911 Board
761708,824 MAIN ST,GREENSBORO,004-0718.,1,2021,DEVELOPMENT SITE,-72.26316256024614,44.550079036415774,R1,Vermont Enhanced 911 Board
759213,124 CAROLINE CT,WILLISTON, ,1,2020,DEVELOPMENT SITE,-73.09815121458955,44.4615625133285,R1,Vermont Enhanced 911 Board
344516,59 PRATT RD,JERICHO,PR059-,1,2011,DEVELOPMENT SITE,-72.9565841913306,44.47791400431332,M,Vermont Enhanced 911 Board
759207,20 CAROLINE CT,WILLISTON, ,1,2020,DEVELOPMENT SITE,-73.09727311058101,44.46304731568958,R1,Vermont Enhanced 911 Board
239123,143 CONGRESS ST,SAINT ALBANS CITY,11022143.,1,2003,DEVELOPMENT SITE,-73.0707229510593,44.81347974985839,M,Vermont Enhanced 911 Board
326369,1378 BEAVER MEADOW RD,SHARON,R01130.R2,1,1998,DEVELOPMENT SITE,-72.40223190210676,43.79275917152439,S1,Vermont Enhanced 911 Board
212393,133 FOREST ST,RUTLAND CITY,12369-,30,2025,DEVELOPMENT SITE,-72.9836413706255,43.597910125269166,C,Vermont Enhanced 911 Board
755221,11 LIBERTY LN,SOUTH BURLINGTON,0570-R1580.,1,2018,DEVELOPMENT SITE,-73.15988167034757,44.421892940495276,R1,Vermont Enhanced 911 Board
755226,48 LIBERTY LN,SOUTH BURLINGTON,0570-R1580.,1,2018,DEVELOPMENT SITE,-73.16067426230443,44.4222897978848,R1,Vermont Enhanced 911 Board
755218,43 LIBERTY LN,SOUTH BURLINGTON,0570-R1580.,1,2018,DEVELOPMENT SITE,-73.16047398474156,44.42185684134003,R1,Vermont Enhanced 911 Board
764322,60 BRAYDEN WAY,SWANTON,WH0125-0013,1,2022,DEVELOPMENT SITE,-73.0687952441773,44.899942187932204,M,Vermont Enhanced 911 Board
763128,35 PELOQUIN RD,BARRE TOWN,022/002.03,1,2022,DEVELOPMENT SITE,-72.50281902012965,44.156171068620154,M,Vermont Enhanced 911 Board
186202,71 OLD CEMETERY RD,PEACHAM,04301-000,1,1998,DEVELOPMENT SITE,-72.16950401801635,44.32959626773936,M,Vermont Enhanced 911 Board
771201,5 SAWMILL LN,LYNDON,33-0641-,1,2025,DEVELOPMENT SITE,-72.00955359334827,44.50789938570507,R1,Vermont Enhanced 911 Board
771196,139 EAST RD,MILTON,211093,1,2025,DEVELOPMENT SITE,-73.10212230089515,44.62796168081179,R2,Vermont Enhanced 911 Board
449923,619 ANDERSON ST,BARNET,0009-02-49.,1,2013,DEVELOPMENT SITE,-72.05810439885593,44.30189061703965,M,Vermont Enhanced 911 Board
771239,553 STAGE RD,BENSON,000015-16,1,2025,DEVELOPMENT SITE,-73.31321493357378,43.677162824153896,R1,Vermont Enhanced 911 Board
295166,5736 WINDHAM HILL RD,WINDHAM,70302,1,1998,DEVELOPMENT SITE,-72.72397663986857,43.162857038832705,R1,Vermont Enhanced 911 Board
900514,90 DEERFIELD LN,EAST MONTPELIER,05-021.050,1,2018,DEVELOPMENT SITE,-72.50556009097241,44.263243833525046,R1,Vermont Enhanced 911 Board
768554,306 PINE RIDGE RD,EAST MONTPELIER,12-008.000,1,2024,DEVELOPMENT SITE,-72.48073211998518,44.265667334100925,M,Vermont Enhanced 911 Board
764169,67 DANA HILL RD,WAITSFIELD,29001500,1,2022,DEVELOPMENT SITE,-72.84269983239386,44.17961965087357,M,Vermont Enhanced 911 Board
764061,401 PIPER HILL RD,WESTON,110118.1,1,2022,DEVELOPMENT SITE,-72.77704053519096,43.26497674451638,M,Vermont Enhanced 911 Board
315988,59 BLACKBERRY RIDGE RD,CALAIS,510900.,1,2006,DEVELOPMENT SITE,-72.45394515711737,44.33348380044237,M,Vermont Enhanced 911 Board
768553,304 PINE RIDGE RD,EAST MONTPELIER,12-008.000,1,2024,DEVELOPMENT SITE,-72.48076132761209,44.265526371404164,M,Vermont Enhanced 911 Board
153032,291 JOHN FOWLER RD,MARSHFIELD,JF007.,1,1998,DEVELOPMENT SITE,-72.40994373676726,44.28303631294315,M,Vermont Enhanced 911 Board
768615,2517 HORN OF THE MOON RD,EAST MONTPELIER,02-051.050,1,2024,DEVELOPMENT SITE,-72.56400919356669,44.319127385130194,M,Vermont Enhanced 911 Board
766634,119 DANA HILL RD,WAITSFIELD,29003300,1,2023,DEVELOPMENT SITE,-72.84351552070308,44.179214199002075,M,Vermont Enhanced 911 Board
10120,22 HILL ST,BARRE CITY,0790-0022-0000,1,1998,DEVELOPMENT SITE,-72.4989406655889,44.192265186518355,M,Vermont Enhanced 911 Board
336788,2 MADISON DR,SWANTON,MR0133-0008,1,2009,DEVELOPMENT SITE,-73.14060367973134,44.90761006045296,M,Vermont Enhanced 911 Board
345920,220 BUCK HILL RD,WESTFIELD,09-100-03.,1,2012,DEVELOPMENT SITE,-72.43495403296998,44.870857962748936,R2,Vermont Enhanced 911 Board
336789,4 MADISON DR,SWANTON,MS0002-0012,1,2009,DEVELOPMENT SITE,-73.13979341611532,44.907281379245404,M,Vermont Enhanced 911 Board
244963,595 OLD CENTER RD,SAINT JOHNSBURY,100011.,1,1998,DEVELOPMENT SITE,-72.01958233647515,44.438998169555866,M,Vermont Enhanced 911 Board
20991,1161 MORGAN ST,BENNINGTON,62503506-,1,1998,DEVELOPMENT SITE,-73.18370020713004,42.86215873708295,M,Vermont Enhanced 911 Board
765458,123 THREE BOYS RD,RICHMOND,SR0700.,1,2022,DEVELOPMENT SITE,-72.93112323063501,44.39301420354867,M,Vermont Enhanced 911 Board
768394,51 ROSE HILL LN,SHELBURNE,202-1348,1,2023,DEVELOPMENT SITE,-73.18518458973767,44.37074985047298,M,Vermont Enhanced 911 Board
767667,176 SCOUT FARM RD,SHELBURNE,019-9999,1,2023,DEVELOPMENT SITE,-73.13765134603254,44.374885678313305,R2,Vermont Enhanced 911 Board
754884,777 HARBOR VIEW DR,SAINT ALBANS TOWN,HARBORVIEW-034,1,2018,DEVELOPMENT SITE,-73.09067888078017,44.786860809305814,M,Vermont Enhanced 911 Board
766950,8 OLD FARM RD,SOUTH BURLINGTON,,1,2023,DEVELOPMENT SITE,-73.15489755596886,44.45769022218105,R1,Vermont Enhanced 911 Board
93059,638 BEACH RD,ELMORE,20/20/66.100,1,1998,DEVELOPMENT SITE,-72.53431699327864,44.53695549560945,S1,Vermont Enhanced 911 Board
612588,102 HEERMANVILLE RD,COVENTRY,0TH36001.A,1,2016,DEVELOPMENT SITE,-72.26576394626981,44.867055015556005,M,Vermont Enhanced 911 Board
365041,1071 WINDHAM HILL RD,TOWNSHEND,04015-200,1,2012,DEVELOPMENT SITE,-72.71273601571069,43.09846783367459,R2,Vermont Enhanced 911 Board
766815,9 DANIEL DR,SOUTH BURLINGTON,1260-00150.,1,2023,DEVELOPMENT SITE,-73.1561573739307,44.45251476722161,R1,Vermont Enhanced 911 Board
766893,460 OLD FARM RD,SOUTH BURLINGTON,1260-0200F.001,1,2023,DEVELOPMENT SITE,-73.15526448179801,44.456276113141335,R1,Vermont Enhanced 911 Board
767665,550 SCOUT FARM RD,SHELBURNE,429-0550,1,2023,DEVELOPMENT SITE,-73.13905252175707,44.369713120443244,M,Vermont Enhanced 911 Board
767090,170 WILLOW RD,BENNINGTON,-26507301,1,2023,DEVELOPMENT SITE,-73.19009654115924,42.91313002885676,M,Vermont Enhanced 911 Board
763874,540 BRANCH BROOK RD,GROTON, ,1,2022,DEVELOPMENT SITE,-72.2108610174316,44.22445491333621,S1,Vermont Enhanced 911 Board
765747,52 CODY DR,SAINT ALBANS TOWN,000000TR00-815,1,2023,DEVELOPMENT SITE,-73.10568632978072,44.83258052568179,M,Vermont Enhanced 911 Board
447845,355 LINDEN WAY,CHESTER, ,1,2013,DEVELOPMENT SITE,-72.60577642719824,43.25059155695866,R1,Vermont Enhanced 911 Board
766748,288 DEER HILL RD,WHITINGHAM,08-0687-,1,2023,DEVELOPMENT SITE,-72.8629779418928,42.775067826536635,M,Vermont Enhanced 911 Board
764608,350 BERRY HILL RD,SHEFFIELD,122-015-02-,1,2022,DEVELOPMENT SITE,-72.10919249242487,44.6049355408935,W,Vermont Enhanced 911 Board
236710,14 MINERAL ST,SPRINGFIELD, ,1,1998,DEVELOPMENT SITE,-72.48159825614991,43.29421139409521,C,Vermont Enhanced 911 Board
761839,3240 LAKE DUNMORE RD,LEICESTER,202126.42,1,2021,DEVELOPMENT SITE,-73.06573749205661,43.888346722413694,M,Vermont Enhanced 911 Board
760899,2075 MCCONNELL RD,BRANDON,0084-2075,1,2021,DEVELOPMENT SITE,-73.0543155763106,43.79175284276856,M,Vermont Enhanced 911 Board
768490,1183 SCHOOLHOUSE RD,BROWNINGTON,0TH30011.,1,2023,DEVELOPMENT SITE,-72.12571521246478,44.814893783796414,M,Vermont Enhanced 911 Board
767160,19 DARRAH LOOP,WILMINGTON,HSDAVISM.038,1,2023,DEVELOPMENT SITE,-72.89245855153246,42.892297316822436,M,Vermont Enhanced 911 Board
757302,61 STATION RD,SOUTH HERO,SR061-,1,2019,DEVELOPMENT SITE,-73.32487742873562,44.63864520627748,R1,Vermont Enhanced 911 Board
763384,101 FLEURY RD,ESSEX TOWN,2058001000.,1,2022,DEVELOPMENT SITE,-73.06328608889011,44.51304545610849,M,Vermont Enhanced 911 Board
