ESITEID,PRIMARYADDRESS,TOWNNAME,PARCELNUM,UNITCOUNT,YEARBUILT,SITETYPE,GPSX,GPSY,ParcelCategory,SOURCEOFDATA
310897,9 TURNER RD,WILMINGTON,00901040.000,1,1998,DEVELOPMENT SITE,-72.85530719276065,42.855643828799714,M,Vermont Enhanced 911 Board
337191,87 DOWNER FOREST RD,STRAFFORD,48.087,1,2009,DEVELOPMENT SITE,-72.36408607263931,43.823252820356025,W,Vermont Enhanced 911 Board
146696,19 AUTUMN LN,LYNDON,05-1541-,1,1998,DEVELOPMENT SITE,-72.05148186243785,44.55574952082458,R2,Vermont Enhanced 911 Board
268293,127 BUTTERNUT HILL RD,WAITSFIELD,029013000.,1,1998,DEVELOPMENT SITE,-72.84124166549896,44.15150226866568,R2,Vermont Enhanced 911 Board
193483,425 SWEET RD,POWNAL,037-03.,1,1998,DEVELOPMENT SITE,-73.1976948042481,42.78419294484327,R1,Vermont Enhanced 911 Board
193681,20 OAK HILL SCHOOL RD,POWNAL,AGE-54.,1,1998,DEVELOPMENT SITE,-73.23558317590337,42.76588020758387,R1,Vermont Enhanced 911 Board
272620,596 MAD MEADOWS RD,WARREN,023006-308,1,2004,DEVELOPMENT SITE,-72.80846032720868,44.088736870100675,M,Vermont Enhanced 911 Board
338830,92 DUMP RD,WARREN,022000-4,1,2010,DEVELOPMENT SITE,-72.84852302635663,44.11264243914176,M,Vermont Enhanced 911 Board
296881,32 MAXWELL PERKINS LN,WINDSOR,561034-000,1,1998,DEVELOPMENT SITE,-72.38652661380792,43.48277810647488,M,Vermont Enhanced 911 Board
341450,1195 IRISH HILL RD,LOWELL,120258.,1,2010,DEVELOPMENT SITE,-72.43177424634142,44.785989869912086,M,Vermont Enhanced 911 Board
142296,92 IRISH HILL RD,LOWELL,120301.,1,1998,DEVELOPMENT SITE,-72.44618224956038,44.79629135177976,R1,Vermont Enhanced 911 Board
323968,312 SUNSET CIR,MORGAN,340-0312.02,1,1998,DEVELOPMENT SITE,-72.02679467312542,44.91362736744357,R1,Vermont Enhanced 911 Board
