ESITEID,TOWNNAME,COUNTY,RPC,SITETYPE,Sitetype_General,UNITCOUNT,YEARBUILT,AFFORDABLE,GPSX,GPSY,PRIMARYADDRESS,ZIP,SOURCEOFDATA,CHANGE
770598,RUTLAND TOWN,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.95320010008483,43.666197990586824,291 THISTLE HILL PL,05701,Vermont Enhanced 911 Board,
656553,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10739040901275,44.686328648666986,140 GUILDER LN,05468,Vermont Enhanced 911 Board,
306399,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2024,UNKNOWN,-73.06455401261111,44.83310030639515,1080 FRANKLIN PARK W,05478,Vermont Enhanced 911 Board,
772952,BAKERSFIELD,Franklin County,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.79537509918023,44.82603747771721,215 LAROSE DR,05450,Vermont Enhanced 911 Board,
617958,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2025,AFFORDABLE,-73.10704254599463,44.4906627694016,8 EAST ST,05452,CITY OF ESSEX JUNCTION,
101239,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2024,MARKET,-73.09989802851604,44.497003671981226,135 MAIN ST,05452,CITY OF ESSEX JUNCTION,
2159,ALBURGH,GRAND ISLE,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.21482039747727,45.00228383628863,2042 ALBURGH SPRINGS RD,05440,Vermont Enhanced 911 Board,
656542,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2025,UNKNOWN,-73.1086453643212,44.687181949220324,55 GUILDER LN,05468,Vermont Enhanced 911 Board,
316880,KILLINGTON,RUTLAND,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.78124702180402,43.65693949112786,513 TANGLEWOOD DR,05751,Vermont Enhanced 911 Board,
656566,DERBY,Orleans County,Northeastern Vermont Dev. Assoc.,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.18371967507395,44.99129984384824,269 SUNSET ACRES,05855,Vermont Enhanced 911 Board,
656564,WATERVILLE,Lamoille County,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-72.7382329281878,44.682214306274744,263 BACON RD,05656,Vermont Enhanced 911 Board,
772989,RANDOLPH,Orange County,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.64615510205148,43.92081763589448,0 STOCK FARM RD,05060,Vermont Enhanced 911 Board,
151693,MANCHESTER,BENNINGTON,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.0167734945615,43.170990356016155,340 ROOTVILLE RD,05255,Vermont Enhanced 911 Board,
656543,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10819757935927,44.687142567080606,103 GUILDER LN,05468,Vermont Enhanced 911 Board,
446384,WILLIAMSTOWN,ORANGE,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.50825961146148,44.12147999258758,420 MARTIN RD,05679,Vermont Enhanced 911 Board,
772968,STOWE,Lamoille County,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-72.66743062080472,44.47772830550723,62 BRINKERHOFF LN,05672,Vermont Enhanced 911 Board,
772931,SHREWSBURY,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.91707746576205,43.487227548957705,50 GRIFFIN WAY,05738,Vermont Enhanced 911 Board,
656547,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10764189029204,44.687120892608405,113 GUILDER LN,05468,Vermont Enhanced 911 Board,
20932,BENNINGTON,BENNINGTON,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.15722075401874,42.86585508272913,1213 GORE RD,05201,Vermont Enhanced 911 Board,
214121,RUTLAND TOWN,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.98792253239311,43.63908312449654,871 MCKINLEY AVE,05701,Vermont Enhanced 911 Board,
656549,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.1083608218628,44.686531250168215,92 GUILDER LN,05468,Vermont Enhanced 911 Board,
772937,BROOKFIELD,Orange County,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.66202927713599,44.03952062649198,1547 EAGLE PEAK RD,05060,Vermont Enhanced 911 Board,
772929,MORRISTOWN,Lamoille County,Lamoille County PC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.59861629418661,44.51709404498221,48 BLISS HILL RD,05661,Vermont Enhanced 911 Board,
773001,IRASBURG,Orleans County,Northeastern Vermont Dev. Assoc.,CAMP,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.21097410370547,44.837213902947326,1381 RIVER RD,05860,Vermont Enhanced 911 Board,
306385,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2024,UNKNOWN,-73.06514166869874,44.83407297593275,135 SUNRISE DR,05478,Vermont Enhanced 911 Board,
306389,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.06509230496103,44.83388241997378,149 SUNRISE DR,05478,Vermont Enhanced 911 Board,
656541,GEORGIA,Franklin County,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.10854413974785,44.68755089887291,49 GUILDER LN,05468,Vermont Enhanced 911 Board,
180186,NORTHFIELD,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.65294620187937,44.166742006351036,24 THIRD ST,05664,Vermont Enhanced 911 Board,
768533,JERICHO,CHITTENDEN,Chittenden County RPC,ACCESSORY DWELLING UNIT,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.99851026572183,44.49143349684023,92 PLAINS RD,05465,CCRPC,
339576,BRISTOL,ADDISON,Addison County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.08577418726146,44.087432223105296,80 SHERMANS LN,05443,Vermont Enhanced 911 Board,
327392,SAINT JOHNSBURY,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.00113892062959,44.48371077180711,158 DEER CREEK LN,05819,Vermont Enhanced 911 Board,
766146,UNDERHILL,CHITTENDEN,Chittenden County RPC,ACCESSORY DWELLING UNIT,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.90278269266639,44.61356734706626,41 A DOWNES RD,05489,CCRPC,
96949,ESSEX JUNCTION CITY,Chittenden County,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,MARKET,-73.132261823262,44.49928266067108,177 WEST ST,05452,CITY OF ESSEX JUNCTION,
336408,WARREN,WASHINGTON,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.88524220171577,44.14065554371297,43 COLONY RD,05674,Vermont Enhanced 911 Board,
180172,NORTHFIELD,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.65238977942867,44.166985969471256,1 SECOND ST,05664,Vermont Enhanced 911 Board,
8258,BARRE CITY,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.50487088597174,44.20496170604632,53 MAPLE AVE,05641,Vermont Enhanced 911 Board,
656552,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10750170619113,44.68634840463782,138 GUILDER LN,05468,Vermont Enhanced 911 Board,
448308,WESTFIELD,ORLEANS,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.4438596550766,44.86856870438816,239 BALANCE ROCK RD,05874,Vermont Enhanced 911 Board,
58384,CAMBRIDGE,LAMOILLE,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.83371546534767,44.61142580903026,1126 STEBBINS RD,05464,Vermont Enhanced 911 Board,
772998,GROTON,Caledonia County,Northeastern Vermont Dev. Assoc.,CAMP,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.25985593815766,44.21884278748296,572 SEYON POND RD,05046,Vermont Enhanced 911 Board,
97411,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2025,MARKET,-73.12481936375679,44.4963777693977,132 PEARL ST,05452,CITY OF ESSEX JUNCTION,
772956,PLYMOUTH,Windsor County,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.74135655591861,43.53282312255522,5543 VT ROUTE 100,05056,Vermont Enhanced 911 Board,
342273,NORTH HERO,GRAND ISLE,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.28946746449726,44.782927492585536,181 KNIGHTS VIS,05474,Vermont Enhanced 911 Board,
99916,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2024,MARKET,-73.11354336960974,44.485458138214014,2 RIVER ST,05452,CITY OF ESSEX JUNCTION,
446885,BENNINGTON,BENNINGTON,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.18076060644518,42.891882287826505,231 CHAPEL RD,05201,Vermont Enhanced 911 Board,
771846,MENDON,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.93726324833551,43.65439999213655,569 MEADOW LAKE DR,05701,Vermont Enhanced 911 Board,
762178,JERICHO,CHITTENDEN,Chittenden County RPC,,OTHER RESIDENTIAL,,2024,MARKET,-72.94611434251834,44.51353753413959,55 MAPLE BASIN LN,05465,CCRPC,
763048,SAINT ALBANS CITY,FRANKLIN,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,15,2023,UNKNOWN,-73.08821179242113,44.80061652044613,135 RANIMER PL,05478,VHFA,
769951,JERICHO,CHITTENDEN,Chittenden County RPC,ACCESSORY DWELLING UNIT,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.96876615222965,44.439938396170476,50 MILO WHITE RD,05465,CCRPC,
306391,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.06499321489748,44.83358757419703,163 SUNRISE DR,05478,Vermont Enhanced 911 Board,
757182,BRATTLEBORO,WINDHAM,Windham RC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,18,2021,UNKNOWN,-72.56396339684935,42.83934831349616,32 FAIRGROUND RD,05301,VHFA,
762176,JERICHO,CHITTENDEN,Chittenden County RPC,,OTHER RESIDENTIAL,,2024,MARKET,-72.94833252937393,44.51362503747012,241 MAPLE BASIN LN,05465,CCRPC,
335199,WARREN,WASHINGTON,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.88808917504478,44.12668088489816,115 FALL LINE DR,05674,Vermont Enhanced 911 Board,
768994,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,39,2024,UNKNOWN,-73.10795897205267,44.50141113579823,235 AUTUMN POND WAY,05452,CITY OF ESSEX JUNCTION,
646631,ESSEX TOWN,CHITTENDEN,Chittenden County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,MARKET,-73.02398655098169,44.53331785024651,51 OSGOOD HILL RD,05452,CCRPC,
656561,MIDDLEBURY,Addison County,Addison County RPC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-73.17116904165549,44.01837657301395,13 LUCIUS SHAW LN,05753,Vermont Enhanced 911 Board,
620710,STOWE,LAMOILLE,Lamoille County PC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,9,2022,UNKNOWN,-72.6769248260608,44.46963522877978,607 MAPLE ST,05672,VHFA,
180160,NORTHFIELD,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.65255740344953,44.16737524171463,28 SECOND ST,05664,Vermont Enhanced 911 Board,
772969,STOWE,Lamoille County,Lamoille County PC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.66747590136674,44.47758366708077,68 BRINKERHOFF LN,05672,Vermont Enhanced 911 Board,
338360,BRANDON,RUTLAND,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.09382971760658,43.81021941605645,6 SUNSET DR,05733,Vermont Enhanced 911 Board,
306336,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.06459141308095,44.83393074229778,1024 FRANKLIN PARK W,05478,Vermont Enhanced 911 Board,
656539,RUPERT,Bennington County,Bennington County RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.13703914997267,43.304991070698975,692 SYKES HOLLOW RD,05761,Vermont Enhanced 911 Board,
188847,PITTSFORD,RUTLAND,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.98775128031166,43.73192725256605,2697 FURNACE RD,05763,Vermont Enhanced 911 Board,
180173,NORTHFIELD,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.65254683326381,44.16703186308799,13 SECOND ST,05664,Vermont Enhanced 911 Board,
656546,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10765038172534,44.68707158345562,111 GUILDER LN,05468,Vermont Enhanced 911 Board,
2132,ALBURGH,GRAND ISLE,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.21395844254688,45.00426846328798,125 BOURDEAU LN S,05440,Vermont Enhanced 911 Board,
8051,BARRE CITY,WASHINGTON,Central Vermont RPC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2024,UNKNOWN,-72.50589793657821,44.20642098656175,86 BROOK ST,05641,VHFA,
446799,FERRISBURGH,ADDISON,Addison County RPC,SEASONAL HOME,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.35261761286003,44.165622395955694,226 ARNOLD BAY RD,05491,Vermont Enhanced 911 Board,
761460,SAINT JOHNSBURY,CALEDONIA,Northeastern Vermont Dev. Assoc.,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,40,2021,UNKNOWN,-72.01607383435379,44.41800767932672,369 RAILROAD ST,05819,VHFA,
770717,RUTLAND TOWN,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.9394164831985,43.60921287798729,343 KILLINGTON AVE,05701,Vermont Enhanced 911 Board,
656545,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,1,2025,UNKNOWN,-73.10815424777181,44.68730558410991,107 GUILDER LN,05468,Vermont Enhanced 911 Board,
449769,READSBORO,Bennington County,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.94250538813733,42.750361976450726,895 BOSLEY HILL RD,05350,Vermont Enhanced 911 Board,
180152,NORTHFIELD,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.65230560333977,44.167507171557325,19 FIRST ST,05664,Vermont Enhanced 911 Board,
766000,UNDERHILL,CHITTENDEN,Chittenden County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,MARKET,-72.94199221654766,44.52609672567287,22 HARVEST RUN,05489,CCRPC,
656586,BRANDON,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-73.04283217666854,43.81117046702681,686 VAN CORTLAND RD,05733,Vermont Enhanced 911 Board,
280533,WEST WINDSOR,WINDSOR,Mount Ascutney RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.45897683902574,43.468659144660414,350 VT ROUTE 44,05089,Vermont Enhanced 911 Board,
656575,BARNARD,Windsor County,Two Rivers-Ottauquechee RC,CAMP,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.59548117587839,43.76683013337846,0 OLD STAGE COACH RD,05068,Vermont Enhanced 911 Board,
656574,BARNARD,Windsor County,Two Rivers-Ottauquechee RC,CAMP,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.58601139748605,43.768772454426134,0 MOUNTAIN LN,05068,Vermont Enhanced 911 Board,
772993,GROTON,Caledonia County,Northeastern Vermont Dev. Assoc.,MOBILE HOME,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-72.18729277524953,44.201571841908105,920 LITTLE ITALY RD,05046,Vermont Enhanced 911 Board,
620782,SAINT ALBANS CITY,FRANKLIN,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,30,2021,UNKNOWN,-73.0820315354619,44.813240148758425,20 CONGRESS ST,05478,SAINT ALBANS CITY,
656548,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.107625892191,44.68717024169948,115 GUILDER LN,05468,Vermont Enhanced 911 Board,
656556,MIDDLESEX,Washington County,Central Vermont RPC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.63804733078031,44.30539983019434,257 MCCULLOUGH HILL RD,05602,Vermont Enhanced 911 Board,
314468,MONKTON,ADDISON,Addison County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.17522962236677,44.24550187290114,256 WHITE RIDGE RD,05473,Vermont Enhanced 911 Board,
656533,FAIRFAX,Franklin County,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.01639752885151,44.67117221343673,1240 MAIN ST,05454,Vermont Enhanced 911 Board,
365143,RANDOLPH,Orange County,Two Rivers-Ottauquechee RC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-72.67088290497992,43.92378846535591,304 SALISBURY ST,05060,Vermont Enhanced 911 Board,
757423,BARRE CITY,WASHINGTON,Central Vermont RPC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2024,UNKNOWN,-72.50594338171834,44.20639120664595,84 BROOK ST,05641,VHFA,
99161,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,5,2025,MARKET,-73.11201470065701,44.48841860433034,34 PARK ST,05452, CITY OF ESSEX JUNCTION,
769018,JERICHO,CHITTENDEN,Chittenden County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.99431503142402,44.51432914874023,51 CARDINAL XING,05465,CCRPC,
771213,JERICHO,CHITTENDEN,Chittenden County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.9845907828136,44.46078309830324,34 FITZSIMONDS RD,05465,CCRP,
768641,CLARENDON,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.9454482551402,43.55578398158475,2175 E CLARENDON RD,05759,Vermont Enhanced 911 Board,
17547,BENNINGTON,BENNINGTON,Bennington County RC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.17854309121327,42.88650512760049,5 DUSTIN DR,05201,Vermont Enhanced 911 Board,
281467,WESTFORD,CHITTENDEN,Chittenden County RPC,ACCESSORY DWELLING UNIT,SINGLE FAMILY DWELLING,1,2025,MARKET,-73.00315430994124,44.627269194048345,0 HUNTLEY RD,05494,TOWN OF WESTFORD,
610662,JERICHO,CHITTENDEN,Chittenden County RPC,,OTHER RESIDENTIAL,,2024,MARKET,-72.96787650474509,44.51592083916198,70 NORTON LN,05465,CCRPC,
365146,RANDOLPH,Orange County,Two Rivers-Ottauquechee RC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-72.67053406003511,43.9238280488988,288 SALISBURY ST,05060,Vermont Enhanced 911 Board,
772947,CLARENDON,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.93279502811019,43.51805555413681,665 KNIPES DR,05759,Vermont Enhanced 911 Board,
656537,ROYALTON,Windsor County,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.59410627475809,43.83510929899183,250 BROWN RD,05068,Vermont Enhanced 911 Board,
617421,HUNTINGTON,CHITTENDEN,Chittenden County RPC,ACCESSORY DWELLING UNIT,SINGLE FAMILY DWELLING,1,2024,AFFORDABLE,-72.96488268414305,44.23192038692768,9615 MAIN RD,05462,CCRPC,
656551,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10813976097768,44.686494943420485,96 GUILDER LN,05468,Vermont Enhanced 911 Board,
772934,SHREWSBURY,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.91639586965574,43.48686211158585,90 GRIFFIN WAY,05738,Vermont Enhanced 911 Board,
772933,SHREWSBURY,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.91682341629316,43.4867493218229,80 GRIFFIN WAY,05738,Vermont Enhanced 911 Board,
767434,ESSEX TOWN,CHITTENDEN,Chittenden County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,MARKET,-73.05236969913457,44.56131253082849,335 CHAPIN RD,05452,CCRPC,
306337,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.06456073314327,44.83362867105985,1042 FRANKLIN PARK W,05478,Vermont Enhanced 911 Board,
180212,NORTHFIELD,WASHINGTON,Central Vermont RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.6529499438633,44.16611865922344,4 FOURTH ST,05664,Vermont Enhanced 911 Board,
250356,STOWE,LAMOILLE,Lamoille County PC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2025,UNKNOWN,-72.72283093810657,44.47939946555467,64 MOUNTAIN RD,05672,Vermont Enhanced 911 Board,
306384,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2024,UNKNOWN,-73.06514299830826,44.83418598122577,129 SUNRISE DR,05478,Vermont Enhanced 911 Board,
137557,JERICHO,CHITTENDEN,Chittenden County RPC,ACCESSORY DWELLING UNIT,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.93885521353461,44.44483898196085,43 SNIPE ISLAND RD,05465,CCRPC,
768788,SOUTH BURLINGTON,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,26,2025,UNKNOWN,-73.17501022564743,44.465365396751764,339 GARDEN ST,05403,SOUTH BURLINGTON,
259949,TINMOUTH,RUTLAND,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.06983184680054,43.478927611885354,1148 VT ROUTE 140,05757,Vermont Enhanced 911 Board,
85939,DOVER,WINDHAM,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.87793304045715,42.9456494702321,39 STUGGER RD,05356,Vermont Enhanced 911 Board,
260619,TOPSHAM,ORANGE,Two Rivers-Ottauquechee RC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.26399047443938,44.102795221012315,19 BEN DEXTER RD,05086,Vermont Enhanced 911 Board,
656557,SOUTH HERO,Grand Isle County,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.2992867392172,44.64482571021027,113 LAVIN LN,05486,Vermont Enhanced 911 Board,
772940,POWNAL,Bennington County,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.16429479234408,42.824392476388816,256 HARVEST TRL,05201,Vermont Enhanced 911 Board,
40093,BRISTOL,ADDISON,Addison County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.05520747822297,44.06738300194737,1477 UPPER NOTCH RD,05443,Vermont Enhanced 911 Board,
773012,WOODSTOCK,Windsor County,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-72.51282270512465,43.625122535243506,26 SLAYTON TER,05091,Vermont Enhanced 911 Board,
771976,BURLINGTON,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2024,AFFORDABLE,-73.23526208835155,44.5096807863629,72 TEMPLE ST,05408,CCRPC,
306398,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2024,UNKNOWN,-73.06456606601309,44.833261302972836,1070 FRANKLIN PARK W,05478,Vermont Enhanced 911 Board,
655774,JERICHO,CHITTENDEN,Chittenden County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,MARKET,-72.956633875424,44.50686324768841,77 HAWTHORN LN,05465,CCRPC,
772964,WINDHAM,Windham County,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-72.71037500640578,43.223579881464666,100 HOWARD HILL RD,05143,Vermont Enhanced 911 Board,
