ESITEID,TOWNNAME,COUNTY,RPC,SITETYPE,Sitetype_General,UNITCOUNT,YEARBUILT,AFFORDABLE,GPSX,GPSY,PRIMARYADDRESS,ZIP,SOURCEOFDATA,CHANGE
173397,NEWARK,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-71.97737142461756,44.723379766026355,1288 NEWARK POND RD,05871,Vermont Enhanced 911 Board,
772073,DORSET,BENNINGTON,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.05418996597673,43.22588021428793,0 MORSE HILL RD,05251,Vermont Enhanced 911 Board,
772070,DORSET,BENNINGTON,Bennington County RC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.06848818663643,43.250777941606344,734 LOWER HOLLOW RD,05251,Vermont Enhanced 911 Board,
646708,BARNARD,WINDSOR,Two Rivers-Ottauquechee RC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.64376590067505,43.73699687202072,0 CHATEAUGUAY RD,05032,Vermont Enhanced 911 Board,
646710,BARNARD,WINDSOR,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.65773015301089,43.764773374506646,0 FORT DEFIANCE HL,05032,Vermont Enhanced 911 Board,
646703,TOWNSHEND,WINDHAM,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.66803339387516,43.05522491493912,164 OBER HILL RD,05353,Vermont Enhanced 911 Board,
772179,STAMFORD,BENNINGTON,Bennington County RC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.09271093720147,42.76272639223331,109 BLAZE LINE RD,05352,Vermont Enhanced 911 Board,
646690,BARNARD,WINDSOR,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.60186086142308,43.68997911575354,0 VT ROUTE 12,05091,Vermont Enhanced 911 Board,
772008,MORRISTOWN,LAMOILLE,Lamoille County PC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.62837312462453,44.50805493051793,175 FIRST LIGHT LN,05661,Vermont Enhanced 911 Board,
772024,FAIRLEE,ORANGE,Two Rivers-Ottauquechee RC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2025,UNKNOWN,-72.14198953823086,43.9085167595045,14 WILCOX LN,05045,Vermont Enhanced 911 Board,
