ProjectID,AppNum,AppType,Description,ProjectName,ProjectTown,District,Status,GisLatitude,GisLongitude,LINK
4096,2S0638,Major,"Phase I of  project of 49, 2-bedroom units and 13 3-bedroom units",Winterplace Condominiums,Ludlow,02,Permit,43.4063139,-72.71281198,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0638
4118,2S0640,Minor,1700 SF CLINIC ADD TO HOSPITAL,Mount Ascutney Hospital / clinic addtion,Windsor,02,Permit,43.48727013,-72.40404858,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0640
4132,2S0643,Minor,convert existing home to lodge with 4 rental rooms,"Ballantine, James / Cavendish Veranda",Cavendish,02,Permit,43.38285494,-72.61261246,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0643
4134,2S0645,Major,"construct 12 condominium units in 3 buildings, roadways, 300,000 gallon fire pond, pool, parking","Ghia, James / West Woods Subdivision",Ludlow,02,Permit,43.39514058,-72.72108373,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0645
4139,2S0651,Major,"renovate 5,000 sf commercial space, construct 1,500 sf new commercial space,","Patch, Stanley",Weathersfield,02,Permit,43.4059585,-72.40659888,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0651
4145,2S0652,Minor,convert gravel storage area to warehouse,"Renslow, John and Eileen / Bartlett",Whitingham,02,Permit,42.80964533,-72.83860341,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0652
4146,2S0654,Minor,RENOVATE SPACE TO OFFICES,"Ennis, Dana and Joyce / Ascutney Profees",Weathersfield,02,Permit,43.40735872,-72.40865984,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0654
4153,2S0666,Major,6 lot residential subdivision,"Marchand, Joseph",Windsor,02,Permit,43.48800818,-72.41965935,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0666
4155,2S0668,Major,"construct 18 more motel units onto Hideaway motel, expand campground by 2 spaces","Outlaw, Thomas",Ludlow,02,Permit,43.39061332,-72.67314585,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0668
4160,2S0672,Major,"13  lot subdivision, 310' of road, construct modular homes","Kelley, Berneice / Outlaw, Thomas",Ludlow,02,Permit,43.391516,-72.68123682,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0672
4162,2S0688,Minor,converting an existing porch into a take-out window for food,"Trabold, Kendall and Shirley",Andover,02,Permit,43.25818272,-72.70781634,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0688
4164,2S0691,Major,create 13-lot subdivision,"Okemo Realty, Inc.",Ludlow,02,Permit,43.40548105,-72.71283589,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0691
4179,2S0692,Major,create a 12 lot subdivision,"Smith, Steven",Weathersfield,02,Permit,43.41265926,-72.40641315,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0692
4194,2S0711,Minor,construct an addition to Jewell Brook Inn increasing by 2 bedrooms and seating by 29,"Pitz, Margaret / Jewell Brook Inn",Ludlow,02,Permit,43.38964559,-72.70765741,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0711
4197,2S0718,Major,"17-lot subdivision, 5000 feet of road","Farnworth, Robert / Eckert William",West Windsor,02,Permit,43.44971344,-72.49993682,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0718
4219,2S0849,Minor,UPDATE SEWAGE TRETMENT PLANT,"Cavendish, Town of / Sewage plant",Cavendish,02,Permit,43.38715352,-72.60100632,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0849
4221,2S0856,Major,SUBDIVIDE 25 SINGLE FAMILY BUILDING LOTS & 2 UNDEVELOPED LOTS. CONSTRUCT ROAD.,"Neal, Ronald",Ludlow,02,Permit,43.4012082,-72.69203336,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0856
4232,2S0862,Minor,DEMOLISH EXISTING CLUBHOUSE AND CONSTRUCT NEW ONE,"Crown Pint Country Club, Inc.",Springfield,02,Permit,43.34111991,-72.47206084,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0862
4234,2S0869,Minor,AUTHORIZES PREVIOUS CONS. OF PLATFORM,Vermont Hang Gliding / West Windsor Town,West Windsor,02,Permit,43.44340506,-72.45486841,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0869
4238,2S0873,Minor,CONVERT EXISTONG HOME TO 22 SEAT RESTAURANT.,"Bennett, Karen",Reading,02,Permit,43.49027112,-72.55447101,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0873
4239,2S0874,Major,"12 LOT SUBDIVISION, 1200' ROAD","Bibens, Eric",Springfield,02,Permit,43.33308031,-72.54577798,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0874
4254,2S0914,Minor,22' X 46' SINGLE STORY BLDG FOR AN OBSERVATORY,Springfield Telescope Makers,Springfield,02,Permit,43.27817432,-72.51896474,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0914
4281,2S0938,Minor,FOOT PATH 3' X 1320'/CLEAR 0.1 ACRES FOR ASSEMBLY & LAUNCH/REMOVE 40 TREES,Vermont Hang-Gliding,Windsor,02,Permit,43.43536164,-72.45130509,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0938
4283,2S0939,Major,42' X 33' X 22' BLDG FOR ANTIQUE SHOP,Sumner / Wallace / Cool-Edge,Ludlow,02,Permit,43.45306255,-72.70679956,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0939
4290,2S0959,Minor,4800 SQ FT SINGLE FAM. RESID. TO BE RENOVATED & CONVERTED INTO CONF. CTR.,Glimmerstone,Cavendish,02,Permit,43.38231716,-72.6083621,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0959
4303,2S0732,Minor,renovate interior of existing house for bed and breakfast,"Wilder, Robert / Coleman House",Weston,02,Permit,43.28904312,-72.7929694,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0732
4306,2S0735,Major,SUBDIV. 13 ACRES INTO 11 LOTS,"Cerniglia, Joseph",Springfield,02,Permit,43.31815505,-72.49734464,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0735
4309,2S0736,Minor,CONVERT EXIST BARN INTO COMM. RETAIL STORE/GIFT SHOP,"Stryhas, Don / Boudreau, Robert",Ludlow,02,Permit,43.42126419,-72.70444767,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0736
4323,2S0750,Minor,two lot subdivision (11.90 acres and 3.90 acre lot),Farnsowrth / Eckert,Windsor,02,Permit,43.50610016,-72.39748724,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0750
4332,2S0753,Major,121 CONDOS,"Old Mill Pond / Belaski, Paul",Windsor,02,Permit,43.47367247,-72.39527632,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0753
4360,2S0775,Major,MINING ROCKS FOR BLDG. FACADES IN AN EXIST. QUARRY,milligan Mountain quarry,Chester,02,Permit,43.32485666,-72.61139682,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0775
4363,2S0776,Major,"construct a 21,015 sf addition to hospital, remove frame house, reduce 1 parking lot, extend another",Springfield Hospital,Springfield,02,Permit,43.29804288,-72.49438314,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0776
4372,2S0785,Major,PRODUCE SALES,Black River Produce,Cavendish,02,Permit,43.38059227,-72.64314204,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0785
